Industry Category,Industry Sub Category,Company Name,Latitude,Longitude,URL,NAICS 2022 Code,NAICS 2022 Description,Key Words/ Phrases,
Clothing,Accessories,190 LEATHERWORKS LLC,43.45514,-71.6656,http://www.190leatherworks.com,316990,Other Leather and Allied Product Manufacturing,Requires Research,
Advertising,,"FIRST IMPRESSIONS IMPRINTED SPORTSWEAR, LLC",43.64128,-72.2298,http://www.1stimpressionsprinting.com,323113,Commercial Screen Printing,Requires Research,
Clothing,Apparel,"First IMPRESSIONS IMPRINTED SPORTSWEAR, LLC",43.64128,-72.2298,http://www.1stimpressionsprinting.com,323113,Commercial Screen Printing,Requires Research,
Advertising,Print,27TH EXPOSURE LLC,44.30637,-71.7724,http://www.603printer.com,325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",Requires Research,
Tech,Services,329 Engineering,43.19524,-71.6846,http://www.329engineering.com,339999,All Other Miscellaneous Manufacturing,Requires Research,
Advertising,Apparel,5 BUCKS DIGITIZING,42.7904,-71.5202,http://www.5bucksdigitizing.com,314999,All Other Miscellaneous Textile Product Mills,Requires Research,
Clothing,Apparel,5 BUCKS DIGITIZING,42.7904,-71.5202,http://www.5bucksdigitizing.com,314999,All Other Miscellaneous Textile Product Mills,Requires Research,
Construction,Metal Work,"603 METALS, LLC",42.98223,-71.4084,http://www.603metals.com,332312,Fabricated Structural Metal Manufacturing,Requires Research,
Energy,Fossil Fuel,603 OIL AND FUEL LLC,43.75507,-71.3764,http://www.603oil.com,324110,Petroleum Refineries,Requires Research,
Food & Agro,Breweries-Wineries-Distilleries,"603 BREWERY, LLC",42.91502,-71.3648,http://www.603brewery.com,312130,Wineries,Requires Research,
Automotive,Auto Parts,603 OPTX Inc,42.915696,-72.28947,Unkown,333314,"Optical Fabrication, Diamond Turning",Requires Research,
BioChem,Medical Devices,603 OPTX Inc,42.915696,-72.28947,Unkown,333314,"Optical Fabrication, Diamond Turning",Requires Research,
DOD,Aerospace,603 OPTX Inc,42.915696,-72.28947,Unkown,333314,"Optical Fabrication, Diamond Turning",Requires Research,
Tech,Parts,603 OPTX Inc,42.915696,-72.28947,Unkown,333314,"Optical Fabrication, Diamond Turning",Requires Research,
Food & Agro,Pet Food - Supplies,"603 PERFORMANCE HORSE & PET SUPPLY, LLC",44.87262,-71.4195,https://603performancehorseandpetsupply.com/,339999,All Other Miscellaneous Manufacturing,Requires Research,
DOD,Maritime Industrial Base,A & E Ship Repair & Welding LLC,42.94492,-70.8449,https://www.aeshiprepair.com/,336611,Ship Building and Repairing,Requires Research,
Construction,Equipment,"A & G Crane, LLC",43.0651,-71.4436,http://www.americancranenh.com,333120,Construction Machinery Manufacturing,Requires Research,
Advertising,Print,A & J GRAFIX LLC,43.03929,-71.1717,http://www.anjgrafix.com,339950,Sign Manufacturing,Requires Research,
Consumer Goods,Kitchen Accessories,A & R WOODWORKS LLC,42.81781,-72.5349,https://www.arwoodworks.art/,321918,Other Millwork (including Flooring),Requires Research,
Construction,Woodworking,A H NELSEN ASSOCIATES LLC,42.89522,-71.0657,sales organization for manufacturation,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",Requires Research,commercial development (North Branch) - smart cabinetry New Paris Indiana selling to larger products - bought out by The Cabinet Works (40-50 cabinet lines)
BioChem,Medical Devices,"A&A DENTAL LAB, LLC",43.52774,-72.2884,Unknown,339116,Dental Laboratories,Requires Research,
Construction,Structural,A. COOK AND SON SEALCOATING LLC,43.31659,-71.4539,Unknown,324122,Asphalt Shingle and Coating Materials Manufacturing,Requires Research,
Construction,Woodworking,"A. N. MCSHEFFREY WOODWORKS, LLC",43.44426,-71.4638,http://www.mcsheffreywoodworks.com,321918,Other Millwork (including Flooring),Requires Research,
Construction,Plumbing,"A. SMITH HEATING, COOLING, AND SHEET METAL, LLC",43.38673,-71.4233,Unknown,332322,Sheet Metal Work Manufacturing,Requires Research,
Construction,Woodworking,A P Dailey Custom Laminating Corp.,42.80259,-71.317,http://www.apdailey.com,321911,Wood Window and Door Manufacturing,Requires Research,
Automotive,Auto Parts,"AP Extrusion, Inc.",42.7793,-71.2491,http://www.apextrusion.com,326199,All Other Plastics Product Manufacturing,Requires Research,
BioChem,Medical Devices,"AP Extrusion, Inc.",42.7793,-71.2491,http://www.apextrusion.com,326199,All Other Plastics Product Manufacturing,Requires Research,
DOD,Communication,"AP Extrusion, Inc.",42.7793,-71.2491,http://www.apextrusion.com,326199,All Other Plastics Product Manufacturing,Requires Research,
Energy,General,"AP Extrusion, Inc.",42.7793,-71.2491,http://www.apextrusion.com,326199,All Other Plastics Product Manufacturing,Requires Research,
Tech,Parts,"AP Extrusion, Inc.",42.7793,-71.2491,http://www.apextrusion.com,326199,All Other Plastics Product Manufacturing,Requires Research,
BioChem,Medical Devices,AA PLASTIC AND METAL FABRICATORS INC,42.77373,-72.1728,http://www.aaplasticandmetalfabricators.com,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,Requires Research,
DOD,General,AA PLASTIC AND METAL FABRICATORS INC,42.77373,-72.1728,http://www.aaplasticandmetalfabricators.com,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,Requires Research,
Tech,SemiConductor,AA PLASTIC AND METAL FABRICATORS INC,42.77373,-72.1728,http://www.aaplasticandmetalfabricators.com,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,Requires Research,
Energy,Power Packs/ Batteries,AAK Power Supply Corporation,42.82186,-71.059,http://www.aakpowersupply.com,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,Requires Research,
