CIS ID#,Industry Category,Industry Sub Category,Company Name,Latitude,Longitude,URL,NAICS 2022 Code,NAICS 2022 Description,
NH90002550,Clothing,Accessories,190 LEATHERWORKS LLC,43.45514,-71.6656,http://www.190leatherworks.com,316990,Other Leather and Allied Product Manufacturing,
1962,Advertising,General,"FIRST IMPRESSIONS IMPRINTED SPORTSWEAR, LLC",43.64128,-72.2298,http://www.1stimpressionsprinting.com,323113,Commercial Screen Printing,
1962,Clothing,Apparel,"First IMPRESSIONS IMPRINTED SPORTSWEAR, LLC",43.64128,-72.2298,http://www.1stimpressionsprinting.com,323113,Commercial Screen Printing,
NH90002551,Advertising,Print,27TH EXPOSURE LLC,44.30637,-71.7724,http://www.603printer.com,325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",
NH90002552,Tech,Services,329 Engineering,43.19524,-71.6846,http://www.329engineering.com,339999,All Other Miscellaneous Manufacturing,
NH90002554,Advertising,Apparel,5 BUCKS DIGITIZING,42.7904,-71.5202,http://www.5bucksdigitizing.com,314999,All Other Miscellaneous Textile Product Mills,
NH90002554,Clothing,Apparel,5 BUCKS DIGITIZING,42.7904,-71.5202,http://www.5bucksdigitizing.com,314999,All Other Miscellaneous Textile Product Mills,
NH90002555,Construction,Metal Work,"603 METALS, LLC",42.98223,-71.4084,http://www.603metals.com,332312,Fabricated Structural Metal Manufacturing,
NH90002556,Energy,Fossil Fuel,603 OIL AND FUEL LLC,43.75507,-71.3764,http://www.603oil.com,324110,Petroleum Refineries,
NH90002557,Food & Agro,Breweries-Wineries-Distilleries,"603 BREWERY, LLC",42.91502,-71.3648,http://www.603brewery.com,312130,Wineries,
NH90001785,Automotive,Auto Parts,603 OPTX Inc,42.915696,-72.28947,,333314,"Optical Fabrication, Diamond Turning",
NH90001785,BioChem,Medical Devices,603 OPTX Inc,42.915696,-72.28947,,333314,"Optical Fabrication, Diamond Turning",
NH90001785,DOD,Aerospace,603 OPTX Inc,42.915696,-72.28947,,333314,"Optical Fabrication, Diamond Turning",
NH90001785,Tech,Parts,603 OPTX Inc,42.915696,-72.28947,,333314,"Optical Fabrication, Diamond Turning",
NH90002558,Food & Agro,Pet Food - Supplies,"603 PERFORMANCE HORSE & PET SUPPLY, LLC",44.87262,-71.4195,https://603performancehorseandpetsupply.com/,339999,All Other Miscellaneous Manufacturing,
NH90002559,DOD,Maritime Industrial Base,A & E Ship Repair & Welding LLC,42.94492,-70.8449,https://www.aeshiprepair.com/,336611,Ship Building and Repairing,
NH90002560,Construction,Equipment,"A & G Crane, LLC",43.0651,-71.4436,http://www.americancranenh.com,333120,Construction Machinery Manufacturing,
NH90002565,Advertising,Print,A & J GRAFIX LLC,43.03929,-71.1717,http://www.anjgrafix.com,339950,Sign Manufacturing,
